"state" "County" "Margin2020" "votes" "counted"
"Connecticut" "Preston" -9 2868 98
"Connecticut" "Middlefield" 3 2853 98
"Connecticut" "Salem" -0.23 2623 98
"Connecticut" "Chester" 33 2596 98
"Connecticut" "Salisbury" 60 2555 98
"Connecticut" "Ashford" 7 2544 98
"Connecticut" "Pomfret" 10 2524 98
"Connecticut" "Lisbon" -9 2490 98
"Connecticut" "Barkhamsted" -3 2442 98
"Connecticut" "Bethlehem" -19 2367 98
"Connecticut" "Sherman" 7 2336 98
"Connecticut" "Washington" 30 2268 98
"Connecticut" "Goshen" -12 2100 98
"Connecticut" "Andover" 3 2091 98
"Connecticut" "Sterling" -31 1908 98
"Connecticut" "Kent" 38 1865 98
"Connecticut" "Lyme" 33 1772 98
"Connecticut" "North Canaan" 3 1705 98
"Connecticut" "Roxbury" 17 1622 98
"Connecticut" "Morris" -14 1561 98
"Connecticut" "Sprague" -15 1557 98
"Connecticut" "Sharon" 33 1555 98
"Connecticut" "Bozrah" -7 1548 98
"Connecticut" "Voluntown" -23 1524 98
"Connecticut" "Hartland" -28 1292 98
"Connecticut" "Chaplin" -5 1290 98
"Connecticut" "Franklin" -10 1261 98
"Connecticut" "Bridgewater" 10 1233 98
"Connecticut" "Hampton" 1.8 1139 98
"Connecticut" "Eastford" -10 1067 98
"Connecticut" "Norfolk" 26 1065 98
"Connecticut" "Cornwall" 49 1032 98
"Connecticut" "Colebrook" -16 988 98
"Connecticut" "Scotland" -14 970 98
"Connecticut" "Warren" -0.53 945 98
"Connecticut" "Canaan" 35 655 98
"Connecticut" "Union" -10 571 98
"Delaware" "New Castle" 37 287633 98
"Delaware" "Sussex" -11 129352 98
"Florida" "Miami-Dade" 7 1156816 98
"Florida" "Broward" 30 957672 98
"Florida" "Palm Beach" 13 773158 98
"Florida" "Hillsborough" 7 712063 98
"Florida" "Orange" 23 647403 98
"Florida" "Pinellas" 0.22 559715 98
"Florida" "Duval" 4 492820 98
"Florida" "Lee" -19 393899 98
"Florida" "Brevard" -16 360764 98
"Florida" "Polk" -14 343256 98
"Florida" "Volusia" -14 307439 98
"Florida" "Pasco" -20 301970 98
"Florida" "Sarasota" -10 270575 98
"Florida" "Seminole" 3 260815 98
"Florida" "Manatee" -16 216958 98
"Florida" "Lake" -20 211314 98
"Florida" "Collier" -25 207818 98
"Florida" "Marion" -26 204376 98
"Florida" "St. Johns" -27 176622 98
"Florida" "Osceola" 14 172436 98
"Florida" "St. Lucie" -1.6 172169 98
"Florida" "Escambia" -15 170372 98
"Florida" "Leon" 28 162929 98
"Florida" "Alachua" 27 142604 98
"Florida" "Clay" -37 124405 98
"Florida" "Okaloosa" -39 116373 98
"Florida" "Charlotte" -27 116340 98
"Florida" "Hernando" -30 108922 98
"Florida" "Santa Rosa" -47 106928 98
"Florida" "Martin" -25 98726 98
"Florida" "Indian River" -22 97484 98
"Florida" "Citrus" -41 93208 98
"Florida" "Bay" -44 93024 98
